label,energy_peak,env_mean,pitch_std,pitch_mean,mfcc_high,mfcc_low,delta_mfcc,mfcc_mean,mel_drange,logmel_std,logmel_mean,spectral_centroid,flatness,spec_std,spec_mean,amp_range,amp_mean,energy_std,energy_mean
fear,0.0013413096312433481,0.007971987128257751,0.01649411953985691,0.04062194749712944,0.19359754025936127,0.9567766785621643,9.999999960041972e-13,50.1693229675293,-7.085021495819092,4.789736270904541,18.916526794433594,-4.177496433258057,0.07986965775489807,-29.886756896972656,1.6865407228469849,595.1715087890625,719.857666015625,2.5028400614246493e-06,167.2501678466797
happy,0.002314215060323477,0.006428332533687353,0.026087528094649315,0.089599609375,0.1587333232164383,0.972152829170227,9.999999960041972e-13,49.45814895629883,-6.647800445556641,5.004429340362549,18.639875411987305,-4.171140193939209,0.06269671022891998,-24.0482234954834,0.745691180229187,196.11732482910156,74.87602233886719,2.2945441742194816e-06,34.51533508300781
happy,0.0022589429281651974,0.009276418946683407,0.02533118613064289,0.0752471312880516,0.19822663068771362,0.9527955055236816,9.999999960041972e-13,34.99552917480469,-3.7260642051696777,3.9469363689422607,18.697593688964844,-5.156839847564697,0.08320106565952301,-14.657771110534668,-1.4190845489501953,439.56988525390625,654.4251098632812,6.271376946642704e-07,129.6763916015625
neutral,0.0018178286263719201,0.00713083241134882,0.020610053092241287,0.05633544921875,0.1702951192855835,0.967244029045105,9.999999960041972e-13,33.874481201171875,-5.645655155181885,4.569421768188477,19.230493545532227,-4.606770992279053,0.10147242248058319,-15.106732368469238,-1.6057860851287842,535.1605834960938,750.9789428710938,-9.674020020611351e-07,93.20967864990234
surprise,0.020395563915371895,0.05964530631899834,0.07461098581552505,0.24707946181297302,0.12248039990663528,0.9825475215911865,9.999999960041972e-13,42.596221923828125,-2.853945255279541,3.8868958950042725,21.377708435058594,-2.8289904594421387,0.08221513032913208,-15.549158096313477,-0.40749967098236084,422.3533935546875,97.81851196289062,-1.8024668406724231e-06,27.289417266845703
angry,0.001550923683680594,0.004202620126307011,0.02473381534218788,0.08063353598117828,0.23143181204795837,0.9316384792327881,9.999999960041972e-13,34.39557647705078,-3.538759469985962,3.7908895015716553,18.785472869873047,-2.8079299926757812,0.06639665365219116,-18.264583587646484,3.437344551086426,1043.19384765625,895.9615478515625,1.4289952332546818e-06,50.4184455871582
fear,0.01392639521509409,0.037690792232751846,0.06448034942150116,0.2316741645336151,0.2099602222442627,0.945105254650116,9.999999960041972e-13,39.87510681152344,-3.167389154434204,4.984281063079834,20.222990036010742,-2.5791125297546387,0.14849038422107697,-9.150835037231445,-0.9717264771461487,823.8988037109375,741.8295288085938,-5.024485290050507e-07,32.72494888305664
sad,0.0013074346352368593,0.004073380026966333,0.02131509967148304,0.06756591796875,0.14869964122772217,0.9742083549499512,9.999999960041972e-13,38.11525344848633,-5.035086631774902,3.513157844543457,18.92017364501953,-3.7489094734191895,0.09035344421863556,-21.727914810180664,3.8608925342559814,386.06268310546875,136.4518280029297,7.16133217792958e-06,40.326629638671875
surprise,0.0027827229350805283,0.007437259890139103,0.02990145795047283,0.118011474609375,0.12600979208946228,0.9817063808441162,9.999999960041972e-13,44.27391052246094,-5.913635730743408,4.7417192459106445,19.193729400634766,-5.808197498321533,0.06309232115745544,-19.924726486206055,0.00625643040984869,1069.724853515625,1026.5113525390625,-7.751084012852516e-06,37.117462158203125
neutral,0.0032228121999651194,0.01080630999058485,0.03354649990797043,0.11682738363742828,0.2121748924255371,0.9472506046295166,9.999999960041972e-13,38.39706039428711,-4.04770565032959,4.53026008605957,18.40923309326172,-2.8760693073272705,0.0889253169298172,-9.858741760253906,-1.0466893911361694,470.7401123046875,722.2913208007812,1.4446266050072154e-06,96.90457153320312
